#################################################################################################################################
# Volcano-tectonic architecture of Bioko Island (Equatorial Guinea) derived from TanDEM-X synthetic aperture radar data
# Supplementary Material – Bulletin of Volcanology
#
# Jacob Brauner (1), Thomas R. Walter (2), Oscar A.N. Ela (3), Loÿc Vanderkluysen (1)
# 
# (1) Drexel University, Philadelphia, PA, USA
# (2) Deutsches GeoForschungsZentrum GFZ, Potsdam, Germany
# (3) Universidad Nacional de Guinea Ecuatorial, Malabo, Equatorial Guinea
# Corresponding Author: JB, email: jb4356@drexel.edu
#################################################################################################################################

OBJECTID;LAT;LON;Proj_E;Proj_N;ElevMin;ElevMax;AreaBase;WidthBase;AxisBaseMin(s);AxisBaseMax(s);AxisBaseMean(s);AxisBaseMin(bc);AxisBaseMax(bc);AxisBaseMean(bc);AxisBaseMax;ElevLowCurve;ElevLowCurveFraction;AreaLowCurve;WidthLowCurve;AxisLowCurve;ElevSummitReg;ElevSummitRegFraction;AreaSummitReg;WidthSummitReg;AxisSummitRegMax(cont);HeightMax;HeightPoly1;HeightTIN;HeightIDW;VolMax;VolPoly1;VolTIN;VolIDW;EIoutline;IIoutline;EIavg;IIavg;HWratioPOLY1;HWratioTIN;HWratioIDW;WWratio(cont);SlopeMin(tot);SlopeMax(tot);SlopeMean(tot);SlopeMedian(tot);SlopeSD(tot);SlopeMean(flank);SlopeMedian(flank);SlopeSD(flank);SlopeMean(lowflank);SlopeMedian(lowflank);SlopeSD(lowflank);SlopeMean(mainflank);SlopeMedian(mainflank);SlopeSD(mainflank);SlopeMean(summit);SlopeMedian(summit);SlopeSD(summit);ElevSlopeMax;HeightFracSlopeMax;SlopeAvgMax;AzimAxisBaseMax(s);AzimAxisBaseMax(bc);AzimAxisBaseMax;AzimCurvesAvg;PeaksNumTot;PeaksNumFlank;PeaksNumSummit;HolesNumTot;HolesNumFlank;HolesNumSummit;NumMainCurvesFlank;NumMainCurvesSummit;NumSlopeBins
11;3.6987434;8.8647815;484984.69;408829.12;607.339;703.602;0.191808;494.18369;257.84198;545.506;398.98231;363.56472;569.16898;491.12626;580.48256;687;0.827531;0.027928712;188.57343;250.31717;697;0.931412;0.008500344;104.03352;178.96639;96.2634;38.7864;27.3517;38.6244;0.01063418;0.003013193;0.001791685;0.002273689;1.3797535;1.108135;2.2287;1.0874;0.078485748;0.055347202;0.07815796;0.21051589;1.89683;29.4488;14.0717;14.2873;5.69553;14.3832;14.4134;5.6454;14.2579;14.3565;5.83026;15.7069;16.3314;2.87553;7.7655;7.0525;1.56664;697;0.931412;20.776;171.254;50.1944;60.2551;90;0;0;0;0;0;0;11;6;97
12;3.7436895;8.8715831;485740.69;413797.12;152.543;243.339;0.057672;270.9802;116.49845;332.8636;229.47049;209.82337;340.99688;275.94139;341.52597;235;0.908155;0.008208248;102.23045;131.95516;243;0.996264;0.00000361;2.1452447;3.5567164;90.7966;38.9625;25.4844;33.9077;0.004253073;0.001114423;0.000713505;0.000979564;1.5884456;1.0550342;2.34343;1.07509;0.14378343;0.09404538;0.12512992;0.00791661;2.40492;26.3274;17.0597;18.1101;6.73867;17.2195;18.286;6.68976;18.3945;19.9265;5.89731;7.42788;5.67791;4.75353;8.10967;8.10967;0;235;0.908155;13.1157;165.964;26.5651;18.4349;163.208;2;2;0;0;0;0;9;0;92
13;3.7098241;8.9257289;491752.69;410053.12;71.0922;170.76;0.114048;381.06485;345.79986;421.49532;369.79682;337.86595;434.97946;373.81761;437.95892;119;0.480674;0.059116523;274.35286;309.8619;144;0.731506;0.0311456;199.13766;218.28965;99.6682;77.3639;65.162;78.1559;0.00633935;0.003563521;0.002962679;0.003637978;1.3208971;1.0619968;1.22963;1.03812;0.20302032;0.17099973;0.20509876;0.52258208;2.39851;41.1043;21.417;21.4759;10.2011;23.0996;24.8377;10.3592;20.3796;19.594;10.2647;30.5176;31.9462;6.25405;15.1457;15.2532;6.6499;144;0.731506;35.6471;63.4349;99.4623;99.4623;104.349;0;0;0;0;0;0;26;26;100
14;3.7046128;8.9228116;491428.69;409477.12;92.3659;179.447;0.146448;431.81406;324;504;420.39682;360;482.51246;425.45833;500.12797;138;0.524044;0.058589143;273.12637;308.69522;157;0.742233;0.031021781;198.74143;238.5153;87.0806;70.9664;62.1188;71.5946;0.006130554;0.003898684;0.003071561;0.003998172;1.3414321;1.0619545;1.27622;1.1307;0.16434488;0.14385545;0.16579969;0.46024772;2.06282;37.5774;18.7845;19.5076;9.7683;19.6647;20.6818;9.90859;18.0709;17.2483;9.56761;25.8225;31.0013;8.91144;14.8603;13.1256;8.19592;142;0.569978;37.5774;36.8699;38.6598;59.7436;79.7532;3;2;1;0;0;0;20;22;88
15;3.7466239;8.8958984;488440.69;414121.12;130.032;221.996;0.119232;389.62917;317.82338;409.86595;374.89083;337.86595;470.55844;382.42996;461.02495;181;0.554217;0.034150283;208.52216;289.96367;198;0.739073;0.01360122;1.32E+02;225.65324;91.9636;69.5965;69.0129;67.5198;0.005305699;0.002481078;0.00214741;0.00228542;1.4000576;1.0660741;2.38261;1.31004;0.17862247;0.17712467;0.17329248;0.33774779;1.42176;38.0793;17.9959;17.8023;8.39286;17.8693;17.8023;8.68678;17.0828;16.9596;8.7708;22.9511;23.924;6.26873;19.0193;18.2488;5.63459;197;0.728199;30.2448;111.801;135;141.34;178.385;3;3;0;0;0;0;18;23;92
16;3.7221935;8.8683442;485380.69;411421.12;390.206;487.243;0.171072;466.70722;291.56469;634.1678;460.29742;296.73509;645.99376;478.44213;661.85197;464;0.760471;0.036904058;216.76647;286.31933;481;0.935661;0.005887989;86.584176;130.87317;97.0378;57.0628;53.1596;56.5275;0.01064069;0.003208011;0.003044233;0.003339369;2.0110955;1.0734104;1.74152;1.04551;0.12226675;0.11390361;0.12111976;0.1855214;1.64098;29.3525;14.6078;13.4654;7.32898;14.8426;14.6879;7.34196;14.6957;13.4824;7.59479;15.5957;16.9143;5.95896;8.85379;9.89123;4.18875;470;0.822303;21.8754;23.1986;26.565;22.3801;22.1869;2;2;0;0;0;0;18;6;98
17;3.7397807;8.8683416;485380.69;413365.12;236.563;316.847;0.060264;277.00272;173.82338;326.24128;254.93266;188.49844;360;284.56821;360;312;0.939622;0.000509933;25.48071;37.12085;316;0.989446;0.0000156;4.45E+00;6.4889803;80.2839;34.5092;34.286;35.7733;0.00309038;0.000735714;0.000594078;0.000860447;1.6890283;1.0883711;2.12233;1.05344;0.12458079;0.123775;0.12914417;0.016080005;2.29446;32.1117;17.9743;17.5078;6.49764;18.2224;17.5671;6.26617;18.2224;17.5671;6.26617;-1;-1;-1;3.58506;3.58506;0;312;0.939622;15.2002;29.7449;36.8699;53.1301;0;0;0;0;0;0;0;5;0;81
18;3.7085116;8.8492186;483256.69;409909.12;534.222;621.506;0.1296;406.21649;237.79986;582.49223;429.60282;260.73509;578.24128;431.97401;629.74278;598;0.730698;0.046224832;242.60108;342.98801;612;0.891095;0.013900032;133.03409;239.99543;87.2834;44.2621;46.0258;51.1926;0.00779;0.002309784;0.002090037;0.002906894;2.4033182;1.0576762;2.38704;1.05941;0.10896196;0.11330367;0.12602301;0.32749555;2.726;31.5658;15.2158;13.8838;7.06761;16.1092;15.3737;6.9453;16.2009;15.4726;7.46336;15.7633;15.3737;4.60741;8.51555;8.3534;3.56534;606;0.822353;21.9107;26.5651;29.7449;30.9637;41.4578;3;3;0;0;0;0;15;9;88
19;3.7016724;8.8511649;483472.69;409153.12;600.425;704.692;0.316872;635.18025;309.79983;948.87213;625.68629;432;951.19938;690.67543;969.32964;674;0.705641;0.05416302;262.60712;388.45452;687;0.830321;0.019144804;156.1279;247.40801;104.267;54.664;56.2358;56.6113;0.017077269;0.004578166;0.004915569;0.00470616;2.3288901;1.1017118;2.3881;1.06705;0.086060613;0.08853515;0.089126399;0.24580094;0.230545;25.2161;12.4134;11.846;5.60901;12.5228;11.9998;5.67092;12.0958;11.7035;5.6118;16.1918;15.6395;4.87002;10.6419;9.84211;4.24152;679;0.753595;24.5599;29.3577;33.6901;31.3287;38.5216;5;5;0;2;2;0;14;17;105
20;3.7055835;8.868995;485452.69;409585.12;518.396;666.594;0.393336;707.67997;410.51246;812.02856;628.2906;507.56469;865.38256;701.55684;858.73398;618;0.6721;0.072768118;304.38667;397.70566;644;0.84754;0.021088158;163.86054;226.16254;148.199;82.0108;65.6786;84.7827;0.027785066;0.008077569;0.006810856;0.008080472;1.47246;1.1518587;1.78621;1.17959;0.11588685;0.092808406;0.11980367;0.2315461;0.285887;32.8649;14.8419;14.2796;7.8919;14.6985;14.2796;7.91997;13.6799;13.5096;7.56254;21.8285;22.5728;6.6584;17.5415;15.6398;7.01227;644;0.84754;28.0319;135;147.529;146.976;77.6692;6;6;0;2;2;0;27;22;149
21;3.7231674;8.8485677;483184.69;411529.12;378.671;448.243;0.07452;308.02891;188.49844;334.08397;265.88066;221.84198;360;297.63158;382.68526;441;0.895891;0.006384747;90.162697;108.22004;448;0.996506;0.0000066;2.8997349;4.7237778;69.5723;30.7319;29.9214;27.3695;0.003614015;0.000789157;0.000718998;0.000891932;1.5434783;1.076949;1.89915;1.05776;0.099769641;0.097138143;0.088853795;0.00941384;2.11448;26.2833;13.311;12.0482;6.30943;13.3982;12.0482;6.31046;13.7587;13.1095;6.27777;7.35981;6.74336;3.26012;7.11742;7.11742;0;441;0.895891;11.3759;15.9454;53.1301;41.1859;108.106;3;3;0;0;0;0;8;0;71
22;3.7254483;8.8547272;483868.69;411781.12;376.584;441.638;0.071928;302.62447;194.91169;368.8636;282.96646;221.84201;389.91426;312.02785;402.49223;439;0.959453;0.001516216;43.937527;56.799308;441;0.990197;0.0000683;9.33E+00;15.591308;65.0533;39.2403;30.8882;30.7759;0.002959775;0.001131811;0.000789248;0.000789987;1.7689148;1.0580718;2.41933;1.0654;0.12966673;0.1020676;0.1016967;0.030825559;2.83661;27.565;14.9107;14.5865;6.40683;15.0547;15.0802;6.34103;15.2266;15.0802;6.22723;3.53823;3.53823;0;5.1211;5.1211;0;439;0.959453;12.0922;75.9638;59.0362;63.4349;165.734;3;3;0;0;0;0;3;0;66
23;3.7143747;8.8534322;483724.69;410557.12;421.385;541.826;0.233928;545.75303;113.842;742.15901;421.32445;345.79986;779.82866;564.1968;790.36194;537;0.95993;0.004143819;72.636593;110.45556;538;0.968232;0.002227427;53.254553;91.521246;120.441;32.0173;40.6631;46.2291;0.019164447;0.001947672;0.002617439;0.004020376;2.097296;1.0837146;2.63293;1.08745;0.058666342;0.074508274;0.084706988;0.097579948;0.85941;33.4828;13.0157;11.9067;6.62341;13.2243;11.9534;6.51488;13.2479;12.0548;6.52255;8.48625;8.48625;0;2.5385;3.3114;2.06768;538;0.968232;8.48625;22.8337;30.9638;30.0686;0;3;3;0;2;2;0;2;3;121
24;3.6909299;8.8865034;487396.69;407965.12;565.084;638.156;0.138672;420.19361;0;469.38256;298.72485;360;482.51246;424.70333;469.38256;638;0.997862;9.81E-08;0.35337671;0.62697125;638;0.997862;9.81E-08;0.35337671;0.62697125;73.0721;31.5984;32.1277;34.2031;0.007135469;0.001241299;0.001355707;0.001737859;1.2478288;1.0761699;3.14789;1.11459;0.075199594;0.076459389;0.081398489;0.000840985;1.08942;29.6171;10.8787;10.3427;5.89638;10.9056;10.6502;5.91259;10.9056;10.6502;5.91259;-1;-1;-1;7.54389;7.54389;0;638;0.997862;5.81117;57.5288;51.3402;57.5288;132.318;5;5;0;0;0;0;1;0;74
25;3.6772518;8.8933131;488152.69;406453.12;598.91;678.939;0.071928;302.62447;144;374.91164;251.32843;237.79984;389.91426;306.47042;402.49223;672;0.913298;0.010098292;113.39111;138.22882;672;0.913298;0.010098292;113.39111;138.22882;80.029;32.2017;32.8574;28.1428;0.004618221;0.000834669;0.000712118;0.000850316;1.7689148;1.0580718;1.48607;1.1592;0.10640819;0.1085749;0.092995857;0.37469248;0.875049;25.5956;12.5461;11.2599;6.93411;13.4601;12.7347;6.89605;13.4601;12.7347;6.89605;-1;-1;-1;6.45272;4.92443;3.15268;672;0.913298;5.70883;45;59.0362;63.4349;15.096;0;0;0;0;0;0;1;6;81
26;3.6733431;8.8890991;487684.69;406021.12;674.932;808.792;0.299376;617.39562;461.16901;686.55844;603.50482;515.68396;699.62338;624.99429;698.99359;750;0.560797;0.15160824;439.35589;520.56278;803;0.956734;0.004788096;78.0794;152.67886;133.86;82.9406;79.2219;79.2175;0.023902412;0.009911524;0.009331385;0.009042069;1.2817972;1.0855995;1.69812;1.1444;0.13433939;0.1283162;0.12830909;0.12646575;1.27112;33.8;18.2483;18.6401;8.02039;18.488;18.8063;7.90323;18.6825;19.3718;8.66508;18.2408;18.6263;6.84499;6.16867;6.77578;3.38424;767;0.687796;30.0074;45;57.9946;55.4915;84.3746;2;2;0;2;2;0;54;5;135
27;3.6616168;8.8780785;486460.69;404725.12;832.082;969.576;0.285768;603.20072;512.73506;614.24128;571.72416;557.47012;645.99376;599.54013;661.85197;945;0.821255;0.075656408;310.3687;389.66511;956;0.901258;0.03436731;2.09E+02;304.77928;137.494;72.6873;68.2031;76.9704;0.026667746;0.009608426;0.008517107;0.010121544;1.2039211;1.0516592;1.74975;1.50228;0.1205027;0.11306861;0.12760329;0.34678953;0.522352;34.3352;18.8019;19.7562;7.78461;19.9138;20.8;7.29631;20.5538;21.9332;7.47256;15.9034;16.0806;4.35809;9.82434;9.03965;5.50714;951;0.864893;18.9001;7.12505;26.565;22.3801;12.6218;3;2;1;0;0;0;12;13;138
28;3.6717126;8.8738627;485992.69;405841.12;865.549;951.709;0.286416;603.88423;347.64677;689.59788;522.76527;434.97953;893.02499;634.82176;878.87199;927;0.713216;0.041451003;229.73257;366.84112;927;0.713216;0.041451003;229.73257;366.84112;86.1604;51.7286;41.6305;48.707;0.014100914;0.006246092;0.004724771;0.005909954;2.1180874;1.0916555;2.54983;1.57218;0.085659858;0.068937871;0.080656138;0.38042486;0.308108;33.2167;16.0723;15.711;7.18656;16.8956;16.4917;7.24824;16.8956;16.4917;7.24824;-1;-1;-1;12.2365;12.7833;5.50793;927;0.713216;12.8804;68.1986;51.3402;55.008;11.3189;6;5;1;3;3;0;1;24;87
29;3.6577109;8.8965572;488512.69;404293.12;461.113;594.065;0.111456;376.70968;80.498448;480.29992;302.06665;296.73509;470.97946;386.81406;489.65295;585;0.931817;0.002449384;55.844901;137.0936;587;0.94686;0.001404264;42.28432;114.11696;132.952;29.2128;31.1047;32.9122;0.010202897;0.001151705;0.001050958;0.001647508;1.6895195;1.047762;6.38359;1.06334;0.077547329;0.082569517;0.087367467;0.11224644;4.7031;29.9754;16.6129;16.161;6.45409;16.8049;16.5327;6.45208;16.8411;16.5327;6.47471;13.2232;13.2232;0;10.2126;10.4145;0.695613;585;0.931817;14.6837;77.0054;99.4623;72.8973;0.00000501;2;2;0;0;0;0;3;7;134
30;3.6687807;8.8693246;485488.69;405517.12;882.839;954.688;0.133488;412.26472;0;575.99997;362.54436;296.73509;608.38179;436.10872;613.05791;954;0.990426;0.00000585;2.7290693;4.8378553;954;0.990426;0.00000585;2.73E+00;4.8378553;71.8486;34.3764;33.2497;33.9937;0.006466949;0.001329383;0.001202132;0.001279611;2.2113153;1.1219308;3.14251;1.11418;0.083384298;0.080651323;0.082456034;0.006619701;2.29996;24.2479;11.8279;11.3971;5.56476;11.8879;11.499;5.54773;11.8879;11.499;5.54773;-1;-1;-1;4.51856;4.51856;0;0;-12.2875;0;36.8699;45;49.7636;90;2;2;0;0;0;0;1;0;73
31;3.6873442;8.8638107;484876.69;407569.12;742.076;836.82;0.150336;437.50855;281.82338;575.99997;414.81841;296.73509;573.99379;461.0564;581.59781;828;0.906903;0.007036219;94.650894;168.42788;828;0.906903;0.007036219;94.650894;168.42788;94.7448;45.6046;53.9684;47.618;0.010364677;0.002395231;0.002613211;0.002505815;1.7671459;1.0555986;3.16649;1.06949;0.10423708;0.12335389;0.10883897;0.21634067;2.15073;32.5522;15.118;14.1097;6.3309;15.7995;14.7027;6.13683;15.7995;14.7027;6.13683;-1;-1;-1;8.13235;8.62713;3.48295;828;0.906903;11.7765;22.6199;26.5651;21.8014;42.9405;2;2;0;0;0;0;1;8;95
32;3.6831095;8.8592727;484372.69;407101.12;822.92;889.65;0.086832;332.50253;216;398.24125;318.21889;273.79984;362.97942;324.15086;402.49223;880;0.855386;0.01174415;122.28293;185.06554;880;0.855386;0.01174415;122.28293;185.06554;66.7306;32.1946;25.6519;31.2144;0.004086701;0.001408823;0.001020815;0.001435822;1.4652951;1.0803359;2.29044;1.08876;0.096825251;0.07714785;0.09387723;0.36776542;2.51955;28.2798;14.4675;13.6229;5.96342;15.1842;15.1177;5.82848;15.1842;15.1177;5.82848;-1;-1;-1;8.65411;8.65568;3.409;880;0.855386;20.7012;60.2551;80.5377;63.4349;54.2975;0;0;0;0;0;0;1;9;68
33;3.6785492;8.8553832;483940.69;406597.12;857.025;1003.23;0.318168;636.47786;483.62335;751.17844;597.00943;482.51246;839.29346;653.82935;843.507;952;0.649611;0.095060006;347.89963;405.05095;965;0.738529;0.065329887;288.41046;327.38595;146.203;85.6417;84.0358;80.9766;0.0260877;0.008802352;0.008475446;0.00813749;1.7563489;1.0661495;1.26385;1.02198;0.1345556;0.13203251;0.12722605;0.4531351;1.02894;34.5553;16.9592;17.5645;7.7612;17.0595;17.4779;7.77935;16.4461;16.8071;7.50608;21.5125;23.7747;8.41103;16.5118;19.0988;7.74191;962;0.718009;34.5553;42.2737;45;50.1944;42.0406;3;3;0;2;2;0;14;38;147
34;3.6827825;8.8511681;483472.69;407065.12;838.785;904.385;0.137376;418.22548;360;435.56472;394.84153;360;470.97946;415.27702;480.29992;902;0.963648;0.001103925;37.490817;52.140753;904;0.994136;0.000044;7.48E+00;17.775862;65.5996;33.1072;30.9561;32.72;0.005894968;0.00152669;0.001054974;0.001623896;1.3188762;1.0761015;3.55386;1.05128;0.079161219;0.074017766;0.078235386;0.017894661;1.70815;26.6702;12.0185;11.8058;5.71439;12.0965;11.8058;5.67113;12.2125;11.9045;5.63831;5.07625;7.15761;2.9435;2.42699;2.42699;0;904;0.994136;7.15761;78.6901;80.5377;77.0054;90;4;4;0;0;0;0;3;0;67
35;3.6782222;8.8476028;483076.69;406561.12;867.399;990.072;0.19116;493.34822;257.84198;587.44171;423.68139;396;606.55888;495.91605;619.36743;966;0.803774;0.047589576;246.15631;303.2333;971;0.844532;0.033042349;205.11174;263.05817;122.673;54.8382;54.2769;57.0662;0.015451742;0.00401213;0.003935278;0.004408952;1.5761211;1.0849936;1.59249;1.37663;0.11115515;0.11001746;0.11567116;0.41575449;0.245119;31.7448;16.5134;16.6974;6.67956;17.2962;17.2861;6.60945;17.6027;17.3662;6.60982;13.9498;14.2054;5.85344;12.3679;13.2517;5.49592;967;0.811925;18.0435;12.0948;23.9625;35.5377;4.4299;3;3;0;0;0;0;6;19;124
